site_name,site_address,site_city,site_state,site_zip_code,latitude,longitude,animal_type,total_no_of_animals,total_no_of_animal_units,name
david bramble/bramble farm (expansion),7003 hynson rd,hurlock,md,21643,38.6821799019177,-75.8476564852791,chicken,197600,NA,david bramblebramble farm expansion
david conley/hope two farm,1218 hope rd,centreville,md,21617,39.040704,-75.9847744,chicken,52000,NA,david conleyhope two farm
david e. nuse sr. farm,8339 little brown rd,snow hill,md,21804,38.17761,-75.39184,chicken,75000,NA,david e nuse sr farm
david e. ruf farms,21384 holt road,athens,al,35613,34.866473,-86.893449,chicken,NA,NA,david e ruf farms
"david f. tribbett, jr./twin maples home farm",14130 clarks ln,ridgely,md,21660,38.9950557,-75.9029145,chicken,117000,NA,david f tribbett jrtwin maples home farm
david friedrich farm,milligan road,falkville,al,35622,34.31193,-86.81705,chicken,NA,NA,david friedrich farm
david gray poultry farm,county road 66,section,al,35771,34.534167,-86.040278,chicken,NA,NA,david gray poultry farm
david hoffman,7569 hayward rd,pocomoke city,md,21851,38.0887693,-75.5819357,chicken,155000,NA,david hoffman
david howard,7018 whiteley rd,federalsburg,md,21632,38.6845995709953,-75.807412121716,chicken,73500,NA,david howard
david l. harris,25801 bee tree rd,henderson,md,21640,39.0788386,-75.7999518,chicken,85000,NA,david l harris
david little farm,572 county road 48,mount hope,al,35651,34.49198,-87.45428,chicken,NA,NA,david little farm
david luebbering,13472 fr 2032,verona,mo,65769,36.881583189,-93.818753575,chicken,231000,1848,david luebbering
david m. clark iii,1717 roberts station rd,church hill,md,21623,39.1110446699122,-75.9058102897876,chicken,72000,NA,david m clark iii
david messick farm,99 county road 2204,goshen,al,36035,31.775278,-86.141111,chicken,NA,NA,david messick farm
david moore,21013 e. state hwy 76,rocky comfort,mo,64861,36.722860129,-94.125145048,chicken,190260,1522,david moore
david pilchard farm/pilchard & harlee's wing,3410 redden road,pocomoke city,md,21851,38.0639144,-75.5081271,chicken,153000,NA,david pilchard farmpilchard  harlees wing
david rice,9555 fisher rd,denton,md,21629,38.8700952,-75.8964963,chicken,134400,NA,david rice
david schmidt farm,bearden road,horton,al,35980,34.216523,-86.347211,chicken,NA,NA,david schmidt farm
david shockley/hardway farm,7738 parsonsburg rd,parsonsburg,md,21849,38.4030966,-75.4725256,chicken,116000,NA,david shockleyhardway farm
david stephen scully/scully enterprise,3601 seippes rd,federalsburg,md,21632,38.7063831,-75.8262208,chicken,126000,NA,david stephen scullyscully enterprise
"david tribbett, jr./river road farm",12847 river rd,ridgely,md,21660,38.9578254,-75.8552668,chicken,68000,NA,david tribbett jrriver road farm
david watkins farms,county road 611 east of cr 625,new brockton,al,36323,31.281111,-86.007222,chicken,NA,NA,david watkins farms
david west/ruby west,32791 roy west rd,delmar,md,21875,38.445828,-75.4715543,chicken,53000,NA,david westruby west
david william rogers/rogers farm,5971 bethlehem rd,preston,md,21655,38.7689447,-75.8940212,chicken,38400,NA,david william rogersrogers farm
"david wood/wood haven,wood inspired,wood enterprise",9067 bloxom rd,denton,md,21629,38.853254,-75.912209,chicken,206000,NA,david woodwood havenwood inspiredwood enterprise
davis farm,538 county road 427,fyffe,al,35971,34.4438,-85.99594,chicken,NA,NA,davis farm
davis farms,746 union hill road,hackleburg,al,35564,34.246253,-87.823375,chicken,NA,NA,davis farms
davis farms,3303 county road 479,boaz,al,35957,34.2309,-86.07596,chicken,NA,NA,davis farms
dawg woods farm,344 county road 140,athens,ga,NA,33.850956,-83.304577,chicken,NA,NA,dawg woods farm
daybreak farms,1925 county road 89,anderson,al,35610,34.915604,-87.318789,chicken,NA,NA,daybreak farms
daybreak foods inc lake mills complex,n6680 county road o,marshall,wi,NA,43.08807,-89.01144,chicken,NA,NA,daybreak foods inc lake mills complex
daybreak foods inc lake mills complex ,po box 800,lake mills,wi,535510800,43.042835,-88.946715,chicken,NA,12485 ,daybreak foods inc lake mills complex 
de weerdt poultry-cafo,4980 140th avenue,holland,mi,49423,42.7111,-86.0321,chicken,4628,NA,de weerdt poultrycafo
deborah graham,481 county road 798,cullman,al,35055,34.16934,-86.67284,chicken,NA,NA,deborah graham
deer creek poultry farm-cafo,22660 olnhausen rd,sturgis,mi,NA,41.767459,-85.510519,chicken,NA,NA,deer creek poultry farmcafo
deer run farms of sedalia,23397 whiteman rd,cole camp,mo,65325,38.537185418,-93.265509539,chicken,288000,2304,deer run farms of sedalia
defoor farm,974 gandy's cove road,falkville,al,35622,34.36307,-86.78904,chicken,NA,NA,defoor farm
delt farm,2397 hwy 153,samson,al,36477,31.0725,-86.110278,chicken,NA,NA,delt farm
denise calloway/clay island farm,8540 athol rd,mardela springs,md,21837,38.4303592,-75.7879999,chicken,100000,NA,denise callowayclay island farm
dennie perkins,3095 county road 110,jack,al,36346,31.59211,-85.88629,chicken,NA,NA,dennie perkins
dennis adkins/appletree farm,28180 waller rd,salisbury,md,21801,38.4547731,-75.6374041,chicken,84700,NA,dennis adkinsappletree farm
dennis bradford,6981 powellville rd,willards,md,21874,38.3823963,-75.3558957,chicken,58000,NA,dennis bradford
dennis c. nagel jr/home farm,4381 nichols rd,federalsburg,md,21632,38.7277774,-75.8058115,chicken,99000,NA,dennis c nagel jrhome farm
dennis viens/casa grande farm,3667 freedomtown rd,crisfield,md,21817,37.9829054,-75.8271502,chicken,195000,NA,dennis vienscasa grande farm
dewayne little farm,1091 county road 114,town creek,al,35672-7533,34.494858,-87.420869,chicken,NA,NA,dewayne little farm
dewayne wootten,3481 county road 141,ider,al,35981,34.74928,-85.63909,chicken,NA,NA,dewayne wootten
diamond d farms llc,9867 rattlesnake road,stover,mo,65078,38.540882715,-92.981973352,chicken,149400,1195,diamond d farms llc
dirks poultry farm,18 5th ave,inman,ks,NA,38.17665,-97.83018,chicken,NA,NA,dirks poultry farm
dirnberger poultry,1417 county highway 408,benton,mo,63736,37.058221494,-89.559616228,chicken,250000,2000,dirnberger poultry
dixie farm,stephen turman,samson,al,NA,31.150278,-86.136111,chicken,NA,NA,dixie farm
dixieland farm,2301 warrenton road,guntersville,al,35976,34.3344,-86.37046,chicken,NA,NA,dixieland farm
dixieland farms,3100 county highway 35,horton,al,35980,34.173698,-86.40963,chicken,NA,NA,dixieland farms
dns farms,2441 co rd 837,boaz,al,35957,34.205278,-86.079444,chicken,NA,NA,dns farms
docmo farms llc,9988 county road 488,dudley,mo,63936,36.8030238,-90.098869781,chicken,208000,1664,docmo farms llc
don and judy casey farm,8500 selma highway,hope hull,al,36108,32.296672,-86.450281,chicken,NA,NA,don and judy casey farm
don still,20152 state hwy 76,cassville,mo,65625,36.651796747,-93.787527948,chicken,315000,2520,don still
donald edmonds farm,highway 35,horton,al,35980,34.196944,-86.390278,chicken,NA,NA,donald edmonds farm
donald howard/donald howard farm,27309 crisfield marion rd,crisfield,md,21817,38.0201667,-75.8082961,chicken,75000,NA,donald howarddonald howard farm
donald shockley/don-lin,31202 dagsboro rd,salisbury,md,21804,38.4194156,-75.5294068,chicken,86800,NA,donald shockleydonlin
donald strickland,us highway 84,andalusia,al,36421,31.290278,-86.373611,chicken,NA,NA,donald strickland
donna wright/running on empty,27264 greenwood rd,denton,md,21629,38.8315304,-75.7581589,chicken,96840,NA,donna wrightrunning on empty
donnie wilson farm,4990 county road 284,courtland,al,35618,34.59191,-87.30648,chicken,NA,NA,donnie wilson farm
donny sorensen,15503 farm road 1055,exeter,mo,65647,36.707633203,-93.97295256,chicken,159600,1277,donny sorensen
double b farm,1012 us hwy 11,crossville,al,35954,34.208056,-85.905278,chicken,NA,NA,double b farm
double d farms,2189 county road 89,newville,al,36353,31.53254,-85.42387,chicken,NA,NA,double d farms
double d farms,730 county road,mount hope,al,35651,34.477222,-87.446389,chicken,NA,NA,double d farms
"double e poultry farm, inc.",868 county road 83 south,headland,al,36345,31.404693,-85.416303,chicken,NA,NA,double e poultry farm inc
double h farm,1360 dailey chapel road,oneonta,al,35121,33.93818,-86.358,chicken,NA,NA,double h farm
double h farms,1045 mt. ida road,luverne,al,36049,31.68953,-86.282134,chicken,NA,NA,double h farms
double k farms,370 county road 48,mount hope,al,35651,34.49195,-87.45218,chicken,NA,NA,double k farms
double l poultry,18956 lawrence 2045,miller,mo,65707,37.212113947,-93.71094068,chicken,136684,1093,double l poultry
double n farm,1655 new oak grove road,nauvoo,al,35578,33.992778,-87.460556,chicken,NA,NA,double n farm
double p ranch,8067 lipton rd.,syracuse,mo,65354,38.677301679,-92.919036517,chicken,144000,1152,double p ranch
double r ranch,247 loop road,tuscumbia,al,35674-6302,34.623222,-87.789827,chicken,NA,NA,double r ranch
double s farm,county road 16,roanoke,al,36274,33.146944,-85.308056,chicken,NA,NA,double s farm
doug reading,14450 reading ferry rd,princess anne,md,21853,38.27259,-75.7549131,chicken,75000,NA,doug reading
douglas e. grove/grove farm,24688 porter mill rd,hebron,md,21830,38.4197335,-75.7613834,chicken,135400,NA,douglas e grovegrove farm
douglas james calloway/git-r-done/r-berry acres,5027 & 5007 river rd,hurlock,md,21643,38.6587579,-75.8245501,chicken,102600,NA,douglas james callowaygitrdonerberry acres
douglas stephens farm,1193 cr 1137,goshen,al,NA,31.893333,-86.163611,chicken,NA,NA,douglas stephens farm
doutrich farm,750 whitman rd,lebanon,pa,NA,40.29529,-76.40694,chicken,NA,NA,doutrich farm
downs poultry,15105 ripley road,athens,al,35611,34.75194,-87.05339,chicken,NA,NA,downs poultry
dr & d farms,80 county road 9,crossville,al,35962,34.3076,-86.08899,chicken,NA,NA,dr  d farms
dragon fly farm,16217 fr 2110,cassville,mo,65625,36.773173666,-93.785585418,chicken,160000,1280,dragon fly farm
drake morrow farm,dyess dairy road,opp,al,34667,31.313056,-86.181667,chicken,NA,NA,drake morrow farm
"drw farm, inc.",160 bentwood lane arab,arab,al,NA,34.32376,-86.45084,chicken,NA,NA,drw farm inc
dry creek farms,1563 kenemer farm road,albertville,al,35951,34.38921,-86.12428,chicken,NA,NA,dry creek farms
d-s chicken ranch,492 county road 3337,brundidge,al,36010,31.669444,-85.886111,chicken,NA,NA,ds chicken ranch
dulin farm,10891 choccolocco road,anniston,al,36207,33.74001,-85.69024,chicken,NA,NA,dulin farm
dung van lu,27160 cash corner rd,crisfield,md,21817,37.9909009793395,-75.814391334656,chicken,146600,NA,dung van lu
dunn farm,951 old gallant road,attalla,al,35956,34.03311,-86.16656,chicken,NA,NA,dunn farm
dunn farms,2330 county road 15,ozark,al,36360,31.537552,-85.58294,chicken,NA,NA,dunn farms
dustin andrew calloway/d & w farm,8640 athol rd,mardela springs,md,21837,38.4349101,-75.7930688,chicken,140000,NA,dustin andrew callowayd  w farm
dustin calloway/salt life farm,8129 hurleys neck rd,mardela springs,md,21837,38.4181065,-75.8041626,chicken,82000,NA,dustin callowaysalt life farm
dylan oliver poultry farm,593 oliver street,new site,al,36256,33.01093,-85.75183,chicken,NA,NA,dylan oliver poultry farm
dzk farms,461 county road 420,fyffe,al,35971,34.406941,-85.972759,chicken,NA,NA,dzk farms
dzung cao/danny & kenny farm,6893 elmo dryden road,westover,md,21871,38.068943,-75.6575719,chicken,110000,NA,dzung caodanny  kenny farm
e gilbert farm,county rd. 462,pisgah,al,35765,34.70577,-85.85398,chicken,NA,NA,e gilbert farm
e. keith bostic/pleasant view farm,1622 goldsboro rd,ingleside,md,21644,39.13404,-75.8719036,chicken,187200,NA,e keith bosticpleasant view farm
eagle creek colony cafo,horse creek rd e of n lathair rd,galata,mt,NA,48.609933,-111.371595,chicken,NA,NA,eagle creek colony cafo
earl m.beardsley jr. / earl beardsley farm,3039 jesterville rd,bivalve,md,21814,38.2776965,-75.8893794,chicken,62000,NA,earl mbeardsley jr  earl beardsley farm
east end colony,20 mi ne of havre east of sheperd rd,havre,mt,NA,48.750389,-109.5455,chicken,NA,NA,east end colony
ed evans farm,8429 whaleyville rd,whaleyville,md,21872,38.4180952,-75.2756349,chicken,55000,NA,ed evans farm
ed houston farm,1412 east houston loop road,fort payne,al,35968,34.46723,-85.74153,chicken,NA,NA,ed houston farm
eddie kilcrease,30090 dyess dairy rd,opp,al,36467,31.32256,-86.20089,chicken,NA,NA,eddie kilcrease
edgefield poultry,866 edgefield road,albertville,al,35962,34.358861,-86.110099,chicken,NA,NA,edgefield poultry
edward lewton warren/motel chix,9334 evans rd,berlin,md,21811,38.3204905,-75.237079,chicken,84000,NA,edward lewton warrenmotel chix
edward t. phillips/edward & lisa phillips farm,12913 sheppards crossing rd,whaleyville,md,21872,38.4405089,-75.3320998,chicken,68000,NA,edward t phillipsedward  lisa phillips farm
edwards poultry,783 ne 400 rd,knob noster,mo,65336,38.816088095,-93.591194219,chicken,260000,2080,edwards poultry
"edwin brown farms, tullip farms, teacup farms",2839 alaflo road,samson,al,36477,30.99478,-86.09833,chicken,NA,NA,edwin brown farms tullip farms teacup farms
edwin collins/brisk wind farms,6189 american corner rd,denton,md,21629,38.7714612,-75.8150785,chicken,60000,NA,edwin collinsbrisk wind farms
"eigsti, matt",29125 gilead rd.,hughesville,mo,65334,38.849714415,-93.134197925,chicken,141000,1128,eigsti matt
elaine mcnure/south branch farm/moe money farm,2902 payne rd,pocomoke city,md,21851,38.0039813,-75.5259108,chicken,175500,NA,elaine mcnuresouth branch farmmoe money farm
elceed farms inc.,31350 curtis chapel rd,westover,md,21871,38.1210259296509,-75.6662330376978,chicken,100000,NA,elceed farms inc
eli del solar/stepping stone farm,10039 beaverdam creek rd,berlin,md,21811,38.2859447,-75.2191142,chicken,134000,NA,eli del solarstepping stone farm
elite farms,225 rock hill road guntersville,guntersville,al,NA,34.29255,-86.40615,chicken,NA,NA,elite farms
elizabeth a. richardson/robert r. richardson farm,4789 howard rd,federalsburg,md,21632,38.735496500000004,-75.8003539,chicken,92000,NA,elizabeth a richardsonrobert r richardson farm
elton dryden/char-lee farm,8227 hayward rd,pocomoke city,md,21851,38.1041197,-75.588398,chicken,58000,NA,elton drydencharlee farm
eric payne farm,cr 32 approx 1 mile east of cr 129,wedowee,al,NA,33.33,-85.516667,chicken,NA,NA,eric payne farm
eric r. pardee,719 deep landing rd,chestertown,md,21620,39.2363717,-75.9640063,chicken,226000,NA,eric r pardee
eric smith,eric smith,reform,al,NA,33.315,-88.056111,chicken,NA,NA,eric smith
eric sutton poultry,4752 hwy 51 south,ariton,al,NA,31.6318,-85.67992,chicken,NA,NA,eric sutton poultry
ernest adkins jr./viola's acres,33844 laws road,parsonsburg,md,21849,38.3167588076639,-75.4409296038869,chicken,396000,NA,ernest adkins jrviolas acres
ethan witmer proposed poultry barn,1094 plum creek road,sunbury,pa,NA,40.84485,-76.71673,chicken,NA,NA,ethan witmer proposed poultry barn
eui jin choi/pine tree farms,11071 sharptown rd,mardela springs,md,21837,38.4960167,-75.7444613,chicken,86700,NA,eui jin choipine tree farms
evans poultry farm,1148 county road 19,piedmont,al,36272,33.982293,-85.711412,chicken,NA,NA,evans poultry farm
ez money,10171 county road 87,roanoke,al,36274,33.28175,-85.30583,chicken,NA,NA,ez money
f & s farms,revels farm road,geneva,al,36318,31.1175,-85.955,chicken,NA,NA,f  s farms
f&b farms,browder road,mc kenzie,al,NA,31.57369,-86.73265,chicken,NA,NA,fb farms
fagan farms,430 covie road,boaz,al,NA,34.14019,-86.36531,chicken,NA,NA,fagan farms
faircloth farms,3 sheppard road,louisville,al,36017,31.714167,-85.553333,chicken,NA,NA,faircloth farms
fairhaven colony cafo,124 fair haven road,ulm,mt,NA,47.403592,-111.629097,chicken,NA,NA,fairhaven colony cafo
fairview farms llc,33700 hwy e,green ridge,mo,65336,38.585830108,-93.330089904,chicken,144000,1152,fairview farms llc
"faith elliott rossing/copasetic farm llc (new construction, organic)",3575 goldsboro rd,henderson,md,21640,39.0714192369092,-75.8566726443438,chicken,113400,NA,faith elliott rossingcopasetic farm llc new construction organic
faith farm,1316 farm road 2155,exeter,mo,65647,36.716914546,-94.044585463,chicken,286660,2293,faith farm
faith farm,3180 county highway 25,guntersville,al,35976,34.228259,-86.452574,chicken,NA,NA,faith farm
farm 1,2351 hwy 165,bakerhill,al,36871,32.11415,-85.07835,chicken,NA,NA,farm 1
farm 2,2346 hwy 165,bakerhill,al,36871,32.11457,-85.07826,chicken,NA,NA,farm 2
farm 4,6638 highway 431 s,bakerhill,al,36871,32.068056,-85.144167,chicken,NA,NA,farm 4
farm boy farms,4957 county road 150,dawson,al,35963,34.37836,-85.94218,chicken,NA,NA,farm boy farms
farm crest foods-cafo,6761 haist rd,pigeon,mi,48755,43.877085,-83.278393,chicken,9035,NA,farm crest foodscafo
faron frazier farm,742 greenleaf road,honoraville,al,36042,31.84465,-86.44255,chicken,NA,NA,faron frazier farm
farr away farm,watts mill road,ashland,al,36266,33.331944,-85.861389,chicken,NA,NA,farr away farm
farwest farms,16474 32nd street,green ridge,mo,65332,38.673669122,-93.383293046,chicken,149400,1195,farwest farms
fazal rehman kayani/minahil llc,3640 pepper rd,federalsburg,md,21632,38.7069159,-75.8210492,chicken,50000,NA,fazal rehman kayaniminahil llc
fearnot road site,904 fearnot road,sacramento,pa,NA,40.64429,-76.67711,chicken,NA,NA,fearnot road site
fiaz munir (new construction),1725 buck harbor rd,pocomoke city,md,21851,38.0576933217799,-75.5284727551244,chicken,207500,NA,fiaz munir new construction
firetower farm,county road 214,abbeville,al,36310,31.595833,-85.266389,chicken,NA,NA,firetower farm
firman farm,1455 wildlife drive,syracuse,mo,65354,38.671606474,-92.901724884,chicken,174300,1394,firman farm
flat creek farms of pettis county inc,14949 elm branch,windsor,mo,65360,38.528110913,-93.421893785,chicken,249000,1992,flat creek farms of pettis county inc
flat rock farms,county road 46,mount hope,al,35651,34.51515,-87.45359,chicken,NA,NA,flat rock farms
flintrock corporation,1621 price station road,church hill,md,21623,39.0883547,-75.9406065,chicken,160800,NA,flintrock corporation
floyd farm,3146 cr 2262,troy,al,36079,31.665833,-86.021944,chicken,NA,NA,floyd farm
fluttering spring poultry,545 fluttering spring road,brilliant,al,35548,34.018691,-87.747307,chicken,NA,NA,fluttering spring poultry
flying e farms,310 bowden road,pittsview,al,36871,32.08315,-85.12791,chicken,NA,NA,flying e farms
foghorn and leghorn farms,6069 s. co. rd. 20,ozark,al,36360,31.386667,-85.565278,chicken,NA,NA,foghorn and leghorn farms
fort bragg farm,414 larue circle,anniston,al,35031,34.089167,-86.468611,chicken,NA,NA,fort bragg farm
foster's chicken houses,barfield fire department road,lineville,al,36266,33.379444,-85.749722,chicken,NA,NA,fosters chicken houses
four h farm,294 county road 20,louisville,al,36048,31.771779,-85.534312,chicken,NA,NA,four h farm
four h farms,1860 county road 34,centre,al,35960,34.086667,-85.555833,chicken,NA,NA,four h farms
four l farms,county road 33,skipperville,al,36017,31.608521,-85.430089,chicken,NA,NA,four l farms
fox hollow farm,county road 76,fyffe,al,35971,34.428611,-85.976111,chicken,NA,NA,fox hollow farm
francisco farms,369 tiger rd.,rocky comfort,mo,64861,36.729066981,-94.187713185,chicken,185400,1483,francisco farms
francisco farms,369 tiger road,rocky comfort,mo,NA,36.72792,-94.18456,chicken,NA,NA,francisco farms
frank and karen bailey/frank bailey farm,34767 tingle rd,pittsville,md,21850,38.4325567,-75.4045365,chicken,49000,NA,frank and karen baileyfrank bailey farm
frank or shirley reddoch farm,5485 county road 3319,troy,al,36079,31.71794,-85.9013,chicken,NA,NA,frank or shirley reddoch farm
franklin-view cafo,1700 prospect rd,washington boro,pa,NA,40.0169,-76.45475,chicken,NA,NA,franklinview cafo
fred allen wells/wishin' wells farm,5007 harmony ln,snow hill,md,21863,38.169963,-75.3524975,chicken,43600,NA,fred allen wellswishin wells farm
freddy massey/hidden hill farm,6773 bent pine rd.,willards,md,21874,38.3751247,-75.3348888,chicken,173600,NA,freddy masseyhidden hill farm
freed farms,693 co hwy 407,benton,mo,63736,37.047782203,-89.573081882,chicken,128000,1024,freed farms
frog creek poultry llc,3525 co rd 4,piedmont,al,NA,34.006111,-85.546944,chicken,NA,NA,frog creek poultry llc
frye farms,200 mckay rd,lineville,al,NA,33.36775,-85.71721,chicken,NA,NA,frye farms
fsi of south alabama,county road 65,abbeville,al,36310,31.488056,-85.176667,chicken,NA,NA,fsi of south alabama
full moon farms,county road 508,fort payne,al,35968,34.442991,-85.78674,chicken,NA,NA,full moon farms
"funny farm, inc.",1324 hillman rd,pocomoke city,md,21851,38.0416168,-75.5795338,chicken,73500,NA,funny farm inc
g & h farms,1485 new friendship road,union grove,al,35175,34.3809,-86.45375,chicken,NA,NA,g  h farms
g & l prosper farms,10763 county road 16,hamilton,al,35571,34.161829,-87.988094,chicken,NA,NA,g  l prosper farms
g and b poultry farms,2865 state hwy 91,oran,mo,63771,37.037047266,-89.706422339,chicken,192000,1536,g and b poultry farms
"g and j anderson ranch, inc.",29624 fr 1065,seligman,mo,65745,36.508513753,-93.956718947,chicken,210000,1680,g and j anderson ranch inc
g.l. farms,31378 foliage rd.,wentworth,mo,64873,36.966409018,-94.072091448,chicken,144000,1152,gl farms
games farm,310 bowden road,pittsview,al,36871,32.08315,-85.12791,chicken,NA,NA,games farm
garbet farms,20319 elder road,granby,mo,64844,36.979553816,-94.27264673,chicken,126720,1014,garbet farms
garey benjamin brown,26191 line rd,denton,md,21629,38.8210911,-75.794711,chicken,97000,NA,garey benjamin brown
garrett farms,5326 cr 6647,banks,al,36005,31.795278,-85.698056,chicken,NA,NA,garrett farms
gary beauchamp/jimmy & joy farm,31867 rehobeth rd,pocomoke city,md,21851,38.0613891,-75.6471899,chicken,75000,NA,gary beauchampjimmy  joy farm
gary cox,26475 line rd,federalsburg,md,21632,38.8141327,-75.7862989,chicken,44000,NA,gary cox
gary deditius farm,7439 farm road 1035,purdy,mo,65734,36.821715975,-94.000542197,chicken,145000,1160,gary deditius farm
gary deditius farm,rural route 2 box 176a,purdy,mo,NA,36.822222,-94.002778,chicken,NA,NA,gary deditius farm
gary geisel/pepper ridge farm,26836 county farm rd,denton,md,21629,38.8857652667552,-75.7720489625953,chicken,114900,NA,gary geiselpepper ridge farm
gary kesler,859 county hwy 442,oran,mo,63771,37.024463966,-89.709168526,chicken,256000,2048,gary kesler
gary oliver farms,277 highway 134,haleyville,al,35565,34.348889,-87.574167,chicken,NA,NA,gary oliver farms
gary seale farm,60 howard steen road,forest home,al,NA,31.89661,-86.88002,chicken,NA,NA,gary seale farm
george g. bowman/hidden river farm,25465 linhard lane,greensboro,md,21639,38.9441898,-75.8183232,chicken,86000,NA,george g bowmanhidden river farm
george k. stutzman,24510 station rd,denton,md,21629,38.899462,-75.8531687,chicken,87000,NA,george k stutzman
george landis/long day farm,24726 schuyler rd,goldsboro,md,21636,39.0410982,-75.8399212,chicken,58000,NA,george landislong day farm
"george nagel/home, gem & g & b farms",7128 zion rd,federalsburg,md,21632,38.6915972,-75.8244789,chicken,125400,NA,george nagelhome gem  g  b farms
george sherman/poor boys farm,5033 clark canning house rd,hurlock,md,21643,38.677259,-75.807015,chicken,45200,NA,george shermanpoor boys farm
"george w barnes, iii",11971 drawbridge rd,princess anne,md,21853,38.2108128,-75.7819906,chicken,96000,NA,george w barnes iii
george w. weber & sons inc./best pitch farm,4161 bestpitch ferry rd,cambridge,md,21613,38.4551390300518,-76.0258292552815,chicken,120000,NA,george w weber  sons incbest pitch farm
george w. weber & sons inc/gambler acres farm,4115 bestpitch ferry rd,cambridge,md,21613,38.4487436497012,-76.0288640065755,chicken,45000,NA,george w weber  sons incgambler acres farm
george's main complex,402 w robinson ave,springdale,ar,NA,36.167345,-94.136749,chicken,NA,NA,georges main complex
george's processing inc,1306 n. kansas,springdale,ar,NA,36.19772,-94.14029,chicken,NA,NA,georges processing inc
gerald adkins/itty bitty farm,32581 mt hermon rd,parsonsburg,md,21849,38.3463566175979,-75.4810472998684,chicken,84000,NA,gerald adkinsitty bitty farm
gerald hilley,672 coal mine rd,boaz,al,NA,34.17841,-86.25325,chicken,NA,NA,gerald hilley
gerald lewis,7944 bethel rd,willards,md,21874,38.4081564,-75.3596689,chicken,78600,NA,gerald lewis
gerard dumsha/go away acres farm inc.,10785 old princess anne,princess anne,md,21852,38.1771426,-75.6734811,chicken,102400,NA,gerard dumshago away acres farm inc
gerry & jevin kready farm,1113 north colebrook road,manheim,pa,NA,40.1689,-76.45201,chicken,NA,NA,gerry  jevin kready farm
ghazanffer ali,33140 west post office rd,princess anne,md,21853,38.2271167,-75.6007298,chicken,180000,NA,ghazanffer ali
ghuman farm llc/jutt farm,4890 drawbridge rd,cambridge,md,21613,38.5122157812525,-75.9677059782118,chicken,305000,NA,ghuman farm llcjutt farm
ghuman llc/abdul farm (new construction),5031 percy may rd,linkwood,md,21835,38.5215767,-75.9395585,chicken,240000,NA,ghuman llcabdul farm new construction
gilbert farms,1612 county road 52,cedar bluff,al,35967,34.28141,-85.73782,chicken,NA,NA,gilbert farms
gilbert w. thompson jr./bill thompson and double b farms,9522 mary road9545 seahawk road,berlin,md,21811,38.33383,-75.18579,chicken,180000,NA,gilbert w thompson jrbill thompson and double b farms
glasscock farms,104 tanner road,hartselle,al,35619,34.42229,-86.93106,chicken,NA,NA,glasscock farms
glenn hussey farm,6220 hwy 27,enterprise,al,NA,31.27667,-85.87894,chicken,NA,NA,glenn hussey farm
glenn s. ains/the farm @ heron's pond,15050 heron's landing,eden,md,21822,38.29717,-75.68702,chicken,89400,NA,glenn s ainsthe farm  herons pond
glory hill farms,1697 county road 473,dutton,al,35744,34.609259,-85.895207,chicken,NA,NA,glory hill farms
gnh farms llc cafo,224 white church rd,elysburg,pa,NA,40.86124,-76.42062,chicken,NA,NA,gnh farms llc cafo
gold'n plump poultry - cold spring,851 sauk river rd,cold spring,mn,NA,45.46024,-94.40476,chicken,NA,NA,goldn plump poultry  cold spring
goldsborough james stafford iii,6241 todd rd,federalsburg,md,21632,38.7779781,-75.7461329,chicken,51000,NA,goldsborough james stafford iii
gomez farm,33391 sids rd,tipton,mo,65081,38.587524917,-92.741722409,chicken,144000,1152,gomez farm
good luck farm,28376 quince road,fairview,mo,64842,36.795774165,-94.140557612,chicken,140000,1120,good luck farm
goose creek farming co.,22546 lawrence 1120,verona,mo,65769,36.94649988,-93.843028078,chicken,44000,1467,goose creek farming co
goostree poultry inc,1345 harrell rd,rocky comfort,mo,64861,36.721970898,-94.076086109,chicken,290000,2320,goostree poultry inc
graben farm,540 graben rd,lineville,al,36266,33.34765,-85.69397,chicken,NA,NA,graben farm
grady holley,grady holley farms 1371 perdue rd,luverne,al,NA,31.823188,-86.329338,chicken,NA,NA,grady holley
gray farms,1604 county road 2287,glenwood,al,36034,31.649167,-86.119722,chicken,NA,NA,gray farms
gray's plantation,old geneva road near samson,geneva,al,36477,31.11294,-86.03785,chicken,NA,NA,grays plantation
great lion farm,21414 skylark dr.,stella,mo,64867,36.761440815,-94.225564496,chicken,184000,1472,great lion farm
green acres farm,649 county highway 42,oneonta,al,35121,33.99894,-86.42684,chicken,NA,NA,green acres farm
green acres poultry & cattle farm,county road 58,albertville,al,35974,34.374444,-86.048333,chicken,NA,NA,green acres poultry  cattle farm
green creek farm,e neva drive,geneva,al,36340,31.088056,-85.866111,chicken,NA,NA,green creek farm
green farms,875 egypt road,altoona,al,35952,34.067238,-86.173112,chicken,NA,NA,green farms
green hill farms llc,22656 hwy o,smithton,mo,65350,38.74471818,-93.127177473,chicken,144000,1152,green hill farms llc
greg abercrombie farm,talucah road,valhermosa springs,al,35775,34.552778000000004,-86.697222,chicken,NA,NA,greg abercrombie farm
greg edwards farm,321 county road 9,graham,al,36263,33.44563,-85.40211,chicken,NA,NA,greg edwards farm
greg harris farm (new construction),27355 iron gate rd,federalsburg,md,21632,38.7931470389244,-75.7556545682561,chicken,166155,NA,greg harris farm new construction
greg hilburn,225 glenwood circle,cassville,mo,NA,36.66478,-93.86358,chicken,NA,NA,greg hilburn
